0	0.0858261	0.002
3.30E-06	0.176372	0.002
6.60E-06	0.302364	0.002
9.90E-06	0.431577	0.002
1.32E-05	0.553379	0.002
1.65E-05	0.663904	0.002
1.98E-05	0.764439	0.002
2.31E-05	0.854341	0.002
2.64E-05	0.936832	0.002
2.97E-05	1.00966	0.002
3.30E-05	1.07603	0.002
3.63E-05	1.13565	0.002
3.96E-05	1.1901	0.002
4.29E-05	1.23812	0.002
4.62E-05	1.28194	0.002
4.95E-05	1.32222	0.002
5.28E-05	1.35798	0.002
5.61E-05	1.39053	0.002
5.94E-05	1.41953	0.002
6.27E-05	1.44563	0.002
6.60E-05	1.47012	0.002
6.93E-05	1.49139	0.002
7.26E-05	1.51104	0.002
7.59E-05	1.52941	0.002
7.92E-05	1.5452	0.002
8.25E-05	1.55938	0.002
8.58E-05	1.57227	0.002
8.91E-05	1.58419	0.002
9.24E-05	1.59482	0.002
9.57E-05	1.60449	0.002
9.90E-05	1.61351	0.002
0.000102	1.62092	0.002
0.000106	1.62769	0.002
0.000109	1.63414	0.002
0.000112	1.6409	0.002
0.000115	1.6467	0.002
0.000119	1.65057	0.002
0.000122	1.6554	0.002
0.000125	1.65927	0.002
0.000129	1.66281	0.002
0.000132	1.66668	0.002
0.000135	1.66926	0.002
0.000139	1.67184	0.002
0.000142	1.67377	0.002
0.000145	1.67699	0.002
0.000148	1.6786	0.002
0.000152	1.68118	0.002
0.000155	1.68247	0.002
0.000158	1.68376	0.002
0.000162	1.68537	0.002
0.000165	1.68698	0.002
0.000168	1.68795	0.002
0.000172	1.68859	0.002
0.000175	1.68891	0.002
0.000178	1.69053	0.002
0.000181	1.69149	0.002
0.000185	1.69214	0.002
0.000188	1.69278	0.002
0.000191	1.69375	0.002
0.000195	1.69343	0.002
0.000198	1.69504	0.002
0.000201	1.69536	0.002
0.000205	1.69568	0.002
0.000208	1.69633	0.002
0.000211	1.69633	0.002
0.000214	1.69665	0.002
0.000218	1.69633	0.002
0.000221	1.69729	0.002
0.000224	1.69761	0.002
0.000228	1.69794	0.002
0.000231	1.69826	0.002
0.000234	1.69729	0.002
0.000238	1.69858	0.002
0.000241	1.69858	0.002
0.000244	1.69923	0.002
0.000247	1.69826	0.002
0.000251	1.69923	0.002
0.000254	1.69858	0.002
0.000257	1.69858	0.002
0.000261	1.69955	0.002
0.000264	1.69955	0.002
0.000267	1.69923	0.002
0.000271	1.69955	0.002
0.000274	1.69955	0.002
0.000277	1.69923	0.002
0.00028	1.69955	0.002
0.000284	1.69955	0.002
0.000287	1.69955	0.002
0.00029	1.69955	0.002
0.000294	1.70019	0.002
0.000297	1.69955	0.002
0.0003	1.70019	0.002
0.000304	1.70019	0.002
0.000307	1.70051	0.002
0.00031	1.69987	0.002
0.000313	1.70019	0.002
0.000317	1.70051	0.002
0.00032	1.70051	0.002
0.000323	1.70051	0.002
0.000327	1.70051	0.002
0.00033	1.70084	0.002
0.000333	1.70019	0.002
0.000337	1.70051	0.002
0.00034	1.70019	0.002
0.000343	1.70051	0.002
0.000346	1.70084	0.002
0.00035	1.70084	0.002
0.000353	1.70051	0.002
0.000356	1.70084	0.002
0.00036	1.70116	0.002
0.000363	1.70084	0.002
0.000366	1.70084	0.002
0.00037	1.70084	0.002
0.000373	1.70148	0.002
0.000376	1.70084	0.002
0.000379	1.70116	0.002
0.000383	1.70116	0.002
0.000386	1.70148	0.002
0.000389	1.70116	0.002
0.000393	1.70084	0.002
